Headlines,Emily_Class,Roh_Class,Osman_Class
Friend Takes Liberty Of Ordering $40 Worth Of Appetizers For Entire Table,1,1,1
Friend's Mom Tearing It Up On Facebook |  - America's Finest News Source,0,1,1
Froggy style: unique mating position of Bombay night frogs finally revealed,0,1,1
From Beyoncs leotard to Biebers luxe-grunge the stylists behind 2016s biggest trends,0,0,1
From glamour to gunfire: the tourist city of Acapulco torn apart by violence,0,0,0
From Tennessee to Rafferty and Astrid: parents on their baby-name regrets,1,0,1
From virtual communities to real-life enterprises How Kickstarter generated more than $5bn,0,0,0
Frustrated Man Cant Believe He Can Still Hear Construction Worker Hammering His Wife At This Hour,1,1,1
Frustrated Rick Santorum Still Waiting For Go-Ahead From God To Suspend Presidential Campaign,1,1,1
"Fuck, He Must Be Really Good: This World Cup Player Just Has One Name",1,1,1
Fucking Loser At Movie All By Himself |  - America's Finest News Source,1,1,1
Fukushima: tsunami waves hit after 7.4 magnitude earthquake hits Japan,0,0,0
Full Summer Of Tending Backyard Garden Produces Single Edible Cherry Tomato,1,1,1
Fuming Rachel Maddow Spends Entire Show Just Pointing Wildly At Picture Of Putin,1,1,1
Gab: alt-rights social media alternative attracts users banned from Twitter,0,0,0
Gabby Douglas vaults from Olympic team to Miss America judging panel,0,0,0
Galaxy Note 7 owners told to turn off phones due to exploding battery risk,0,0,0
"Game Of Thrones Audience Disappointed By Season Finales Bland, Uninspired Incest",0,1,1
Game Of Thrones Viewers Reeling After Finale Unexpectedly Kills Off Fan,0,1,1
Gamers Rejoice: Steam Is Having A Sale This Week On 50 Pounds Of Hot Salad For Only $5,1,1,1
Gary Cohn Resigns In Protest Of Trumps Bigoted Comments Towards Aluminum,0,1,1
"Gaunt, Hollow-Eyed Big Bird Enters Sixth Day Of Hunger Strike Against Proposed Trump Budget",0,1,1
GB athletes have doubts over result of womens 1500m Rio race,0,0,0
General Mills Releases New Lucky Charms With 15 Percent Less Leprechaun Meat,1,1,1
"Georgia police officer killed by suspect who remains on the run, officials say",0,0,0
Get Out Is a Funny and Brilliantly Subversive Horror Film,0,0,0
Ghostbusters review: call off the trolls Paul Feigs female reboot is a blast,0,0,0
Ginger extremist convicted in royal death plot so Prince Harry can be king,1,0,1
Giuliani falsely claims Trump disavowed birtherism years ago as it happened,0,0,0
"Giuliani: When The Going Gets Tough, I Can Always Look Back Fondly On The Events Of 9/11",1,1,1
Glass-Encased AR-15 Behind Gun Shop Counter In Safest Hands It Will Ever Be,0,1,1
"Go for gold, wind up broke: why Olympic athletes worry about money",0,0,0
God Freaks Self Out By Lying Awake Contemplating Own Immortality,1,1,1
God Orders All Followers To Swallow Cyanide Capsules In Preparation For Voyage To Alpha Centauri,1,1,1
Golden State Warriors beat Oklahoma City Thunder to return to NBA finals,0,0,0
GOP Candidates Fiercely Divided Over How Much Voltage Border Wall Should Be Electrified With,0,1,1
"GOP Introduces New ""Mystery Candidate"" With Paper Bag Over Head",1,1,1
GOP Maintains Solid Hold On Youth That Already Look Like Old Men,1,1,1
GOP Officials: Kavanaugh Shouldnt Be Held Accountable For Something He Did As White Teenager,1,1,1
Government Admits It Was Only Behind Destruction Of North Tower | ,1,1,1
Government To Confiscate One Persons Guns Just To Make Rest Of Them Squirm,1,1,1
Governor Demands To Know Which Star On American Flag Is Iowas,1,1,1
"Grab Trump by the ballot: either our bodies are our own, or theyre not",0,1,1
Graduation Ceremony A Real Broken Fucking Record About Student Who Died In Car Accident,1,1,1
Grayson Allen Putting In Countless Hours At Gym Practicing Cheap Shot,1,1,1
Greece on collision course with lenders as ESM freezes debt relief,0,0,0
Greta Gerwig: I love people. I believe in their essential goodness,0,0,0
Gridlock in West Africa: Accras troubled attempts to tackle its traffic crisis,0,0,0
"Grocery Store Bar Actually Has Great Little Happy Hour, Reports Man With A Serious Problem",1,1,1
"Gruesome, Deformed Jason Pierre-Paul Lurking In Sewers Beneath MetLife Stadium",1,1,1
Guardian Canada Week: what it is and how you can be involved,0,0,0
Gucci Mane review Drake and Fetty Wap join rapper in fresh start after prison,0,0,0
Guy Knows Exactly How Black People Should Act Around Police Officers,1,1,1
Guys With Boring Jobs Really Hitting It Off A Few Rows Back On Airplane,1,1,1
Gym Patron Just Resting For A Second Until Will To Live Returns,1,1,1
Habitat For Humanity Investigated For Working Conditions After 92-Year-Old Laborer Collapses On Site,0,0,0
Hack attack on Democrats is the future face of war,0,0,0
Hamburger Creeped Out By Eerie Soy Facsimile Of Itself On Grill,1,1,1
Hardened White Blood Cell No Longer Hesitates To Kill Viruses,0,1,1
SEC document shows Trump was worth less than half of $10bn claim in 2012,0,0,0
Harpoon Industry Attempting Rebrand By Pointing Out Harpoons Can Harpoon Stuff Besides Whales,1,1,1
Harvard ends mens soccer team season over lewd rankings of female players,0,0,0
Heart Attack A Real Wake-Up Call For Mans Insurance Provider,1,1,1
Heartwarming! This Cop Cares So Much For The People In His Town That He Doesnt Kill Them!,1,1,1
Heaven Prepares For Huge Rush Of College Kids Over Spring Break,1,1,1
Heisman Trophy winner Rashaan Salaam found dead in Colorado park,0,0,0
Here Are Some Of My Husbands And Some Of My Vegetables In No Particular Order,0,1,1
Here we go! Guillermo del Toro begins filming The Shape of Water,0,0,1
Hidden Figures and the Appeal of Math in an Age of Inequality,0,0,0
High School Athlete On Crutches Walking Around Like Fallen Hero,1,1,1
"Hillary Clinton blames Comey letters for election defeat, reports say",0,0,0
Hillary Clinton calls Trump temperamentally unfit to lead after Machado spat,0,0,1
"Hillary Clinton healthy and fit to serve as president, doctor says",1,0,1
Hillary Clinton poised to win popular vote despite losing presidential race,0,0,0
Hillary Clinton regrets basket of deplorables remark as Trump attacks,0,0,1
Hillary Clinton should learn from Brexit and listen to the young,0,0,0
Hillary Clinton To Nation: Do Not Fuck This Up For Me,1,1,1
Hillary's top donor buys  and starts publishing propaganda immediately.,0,1,1
Historians Discover Thomas Jefferson May Have Secretly Fathered Multiple Other Countries,1,1,1
Historians Piece Together Carnival East India Companys First Cruise In 1605,0,0,0
Historians Politely Remind Nation To Check What's Happened In Past Before Making Any Big Decisions,1,1,1
Historians Suggest Goodfellas YouTube Clips May Be Fragments Of Larger Work,1,1,0
Hobbs & Shaw Pulled From Theaters Following Reports Of On-Set Mistreatment Of Cars,0,1,0
Home Depot Introduces New 100-Pound Bag Of Mulch For Fucking Up Back In Garden Section,1,1,1
Homeland Security Criticized For Allowing Known Killer To Stay In Country,0,0,1
Homeless Child Apparently Unaware He Lives In Nanny State |  - America's Finest News Source,1,1,1
Horrifying Police Body Camera Footage Clearly Shows Current State Of America,0,1,0
House Democrats Issue Condemnation Of Ukraine For Making It Harder To Avoid Impeaching Trump,0,1,1
House of cardinals: why is TV so obsessed with Catholicism?,0,0,0
How a GOP Health-Care Plan Could Leave Rural Areas Devoid of Coverage,0,0,0
How a Scientist Mapped the Entire Peruvian Amazon by Plane,0,0,0
How are Clinton and Trump polling before the first debate?,0,0,0
How Did Michael Flynn Ever Get Hired as National Security Adviser?,0,0,0
How do I tell my daughter that her online truth is a conspiracy theory?,1,0,1
How Does Donald Trump Think His War on the Press Will End?,0,0,0
How Kimbo Slice and MMA challenge our notions of celebrity and humanity,0,0,0
How Madonna Gave Trump Ammo With a Cry for Peace,0,0,1
How Make 13 000 IN 25 Days Without Spending a Dime? cW_9_8Pr,0,1,0
How Republicans Can Win By Making Their Peace With Obamacare,0,0,0
How the Affordable Health Care Act Leaves Near-Elderly People Behind,0,0,0
How The Blood of Emmett Till Still Stains America Today,0,0,0
How the Indy 500 recovered from civil war to celebrate its 100th running,0,0,0
"How To Channel Your Road Rage Into Cold, Calculating Road Revenge",1,1,1
Shrimp Would Be Pissed If He Could See The Lame Party Hes Going To Be Served At,1,1,1
How To Increase Your Cognitive Ability By Reading A Fucking Book For Once,1,1,1
How Trump Can Use the Supreme Court to Get Conservatives in Line,0,0,0
How Trump Is Failing to Honor Fallen Navy SEAL Ryan Owens,0,0,0
How Trump Tried to Close the Deal on Health Care,0,0,0
Something Apparently Going On With Mom And Her Best Friend,1,1,1
Hubble Telescope Desperately Struggling To Contact NASA After Witnessing Murder On Ganymede,1,1,1
"Huckabee Sanders Cuts Loose During Correspondents Dinner With Raucous, Carefree Frown",0,1,0
"Hundreds Of Blind, Pallid Disney Characters Discovered Living In Caves Deep Within Space Mountain",1,1,1
Hundreds Of Rowdy Starship Crews Disembark In NYC During Intergalactic Fleet Week,0,1,0
I am a Muslim doctor. I saved a Christian in Pakistan and it nearly cost me my life,0,0,0
I Am The New Person You Have To Know About Now by Meghan Trainor,0,0,1
I fear my 14-year-old son will kill me one day,1,0,0
I feared my life lacked meaning. Cancer pushed me to find some,0,0,0
I Guess Im Only Tough On Stains Because My Dad Was So Tough On Me,1,1,1
"I Love My Children, But Not Enough To Make Them Corn On The Cob",1,1,1
"I Promise To Work Tirelessly To Achieve My Campaigns Goals, Threatens Trump In Terrifying Address",0,1,1
"I unreservedly apologise: What happens when costumes go very, very wrong",0,0,1
I Used To Think All Terrorists Were Muslim. Then I Saw Speed 2: Cruise Control.,1,1,1
"I voted for Trump on the spur of the moment, but I dont regret it",0,0,1
I wanted to be Willy Wonka: how Gene Wilder inspired future pastry chefs,0,0,1
"I went shooting with queer gun activists, but it didnt make me feel any safer",1,1,1
I went to trade school to improve my skills. I was left with debt instead,0,0,0
I will close my eyes and put my finger on the map: Calais refugees move on,0,0,1
ICE Detains Tim Kaine For Speaking Spanish At Campaign Rally,1,1,0
Ice In Urinal Just Cherry On Top For Man Who Came To Club To Drink Piss,1,1,1
ICE Sends Agents Home With Sacks Of Flour To Practice What It Like Detaining Real Baby,1,1,1
Iceland Airwaves festival day four Bjrks the star in her home country,0,0,0
Idiot Zoo Animal With Zero Predators Still Protective Of Young,1,1,1
If at first you dont succeed: how Hillary Clinton came back from the brink,0,0,0
"If Berlusconi is like Trump, what can America learn from Italy?",0,0,1
"If the US hacks Russia for revenge, that could lead to cyberwar",0,0,0
If US national parks are to continue to thrive they must reflect the diversity of our population,0,0,0
"If we dont act now, all future wars may be as horrific as Aleppo",0,0,1
Ignorant Man Who Has Learned Nothing From History Excited About Star Wars: Jedi Fallen Order,1,1,1
"Im a Democrat, but I fear the elitism overtaking the party",0,0,0
Im a doctor. The real issue isnt Hillary Clintons health its that she might win,1,1,1
Im a Hispanic immigrant. But to the world I am a lily-white Wasp,1,0,1
"Im A Trump-Era Conservative, Says Horrifying Man 25 Years From Now",1,1,1
The Tiny Trump Budget Cut That Could Blind America to the Next Zika,0,0,0
Im Kind Of OCD About Always Serving White Customers First,1,1,1
Im no threat will Obama pardon one of the worlds longest-serving political prisoners?,0,0,0
Im on the professor watchlist. Its a ploy to undermine free speech,0,0,0
Impoverished Child In Third World Dreams About One Day Leaving Light On For No Reason,1,1,1
"In Fire at Sea, Tragedy and Normalcy Live Side by Side",0,0,0
"In Switzerland, You Can Be Denied Citizenship for Being Too Annoying",1,1,1
In The Know: Are Tests Biased Against Students Who Don't Give A Shit?,1,1,1
In The Know: Should The Government Stop Dumping Money Into A Giant Hole?,0,1,0
"In Washington, two black managers create a piece of baseball history",0,0,0
Inclusive New Texas Bill Prevents Gun Sellers From Discriminating On Basis Of Background Check,0,1,0
Inclusivity Win! This 6-Year-Old Boys Imaginary Friend Is A 55-Year-Old Japanese Woman!,1,1,1
Increasingly Cocky Bernie Sanders Announces He Wont Take Donations Over 27 Cents,0,1,0
Incredible! This Man Successfully Pretended Not To See His Coworker At The Supermarket,1,1,1
Incredibly Sad: This Guy Got A New Blender And It Literally Changed His Life,1,1,1
India claims dead soldier killed in Kashmir was mutilated by militants,0,0,0
Indians Marlon Byrd suspended for 162 games for drug violation,0,0,0
Initial impressions: will hiding my name force gender equality in the workplace?,0,0,0
Insect With Limitless Flying Space Rockets Straight For Mans Pupil,1,1,1
Inspiring: This Progressive Bully Torments Transgender Students Using Their Preferred Pronoun,1,1,1
Insurrection the board game? Bloc by Bloc brings uprising to your living room,0,1,0
Intelligence Setback: The CIA Is In Crisis Mode After ISIS Made Its Instagram Private,1,1,1
Investigators Trace Cause Of Notre Dame Fire To Cathedrals Outdated 12th-Century Electrical System,1,0,1
"Invisible Airwaves Crackle With Life, Reports Geddy Lee From Mans Detached Earbud",1,1,1
Iranian Scientist Annoyed He Has To Go Back To Shitty Old Job Building Nuclear Weapons,1,1,1
Is It Better to Be Poor in Bangladesh or the Mississippi Delta?,0,0,0
Is It Okay to Enjoy the Warm Winters of Climate Change?,0,0,0
Is It Time For The NCAA To Start Paying The Coaches?,0,0,0
Is Lee Daniels rags-to-riches R&B drama Star better than Empire?,0,0,0
Is our world a simulation? Why some scientists say its more likely than not,0,0,0
Is the H-1B Program a Cynical Attempt to Undercut American Workers?,0,1,0
Is This Going to Kill Me?: Beauty Parlor Stroke Syndrome,0,1,1
Is Tillerson Really Articulating a New Policy on North Korea?,0,0,0
"Isis video appears to show children, including Briton, killing captives",0,0,0
It Is With A Heavy Heart That I Announce I Am Having My Parents Pick Me Up Early From This Sleepover,1,1,1
It turns out losing online friends feels as bad as the death of real life ones,1,0,1
It was like a monster: Hurricane Matthew leaves Haiti in crisis,0,0,0
Italy earthquake: residents fear historic towns will never look the same,0,0,0
Its a crime to be young and pretty: girls flee predatory Central America gangs,0,0,1
Its not right: mothers and daughters see own struggles reflected in Hillary Clinton,0,0,0
Its Woody Allens Birthday! We Remember 8 Great Films And Blatantly Ignore That Other Stuff,1,1,1
Ivanka Ashamed After Becoming First Trump To Run Business Into Ground,1,1,0
Ive never met an editor like him: Bryan Curtis on Bill Simmons and Grantland,0,0,0
Jaime Jarr­n: the remarkable story of the Latino Vin Scully,0,0,0
James Baldwin and the Raised Fist: The Week in Pop-Culture Writing,0,0,0
Jamie Shupe becomes first legally non-binary person in the US,0,0,0
Janet Yellen: the case for an interest rate hike in 2016 has strengthened,0,0,0
Jason Days US PGA title defence at Baltusrol disrupted by hospital drama,0,0,0
Jason Momoa Reveals He Spent Months Becoming Useless Dumbass To Get Into Character For Aquaman,1,1,1
Jay-Z Pledges To Make Sure Colin Kaepernick Gets Contract At NFL Stadium Shop,1,0,0
Jeb Bush Assures Pipe-Wielding Thugs Hell Have The Delegates He Promised Them By Next Week,1,1,1
Jeb Bush Campaign Kicks Off 3-State Farewell Tour With Iowa Town Hall Meeting,0,0,0
Jeff Bezos on Peter Thiel: Seek revenge and you should dig two graves,0,0,1
Jeff Bridges Seated Directly Behind Support Column At Golden Globes,0,1,0
Jeffrey Epstein Offers Court $32 Million Child Pornography Collection As Bail,1,1,1
Jerry Jones Offers To Pay Players' Fines For Domestic Violence,0,1,0
Jim Harbaugh Starts Off Day With Early Morning Sprint Through Ann Arbor,0,0,0
Jimmy Butler Gives Wolves List Of 29 Preferred Trade Destinations,0,1,0
Jimmy Carter Forced To Remove Dozens Of Genital Piercings Before Entering MRI Machine,1,1,1
Job Placement Service Helps Students Who Fail Out Of Dads Alma Mater Find Work At Dads Company,0,1,1
Jogger Clearly On First Run Of Plan To Turn Life Around,1,1,0
John Delaney Warns Universal Healthcare Not As Feasible As Just Letting Lots Of People Die,1,1,0
John Hickenlooper Drops Out Of 2020 Presidential Race One Assumes,1,1,0
John Legend and this former prosecutor have one goal: keep teens out of prison,0,0,0
John Oliver Is Buying Ads on Cable News to Talk to President Trump,1,0,1
John Prine review legendary songwriter looks back to the beginning,0,0,0
Johnny Manziel Hits Rock Bottom After Waking Up As Browns Starter For Third Time This Year,1,1,0
"Johnny Marr: When the Smiths went to No 1, we were surviving off crisps, chocolate and Coca-Cola",0,0,0
Johnny Rockets Customer Terrified After Evidently Falling Through Wormhole Into 1950s,1,1,0
Johnson & Johnson Introduces 'Nothing But Tears' Shampoo To Toughen Up Newborns,1,1,1
Jon Bon Jovi Jealous Of Former Classmate Who Made It Out Of Jersey,1,1,0
Jon Jones stripped of UFC title after one-year doping ban upheld,0,0,0
Jonathan Franzens lack of black friends is unsettling but its hardly unusual in white America,1,0,1
Jordan Henderson: Liverpool ready for whatever Manchester United throw at us,0,0,0
Jos Mourinho: Uniteds jealous rivals could never have done Paul Pogba deal,0,0,0
Judge in Stanford sexual assault trial launches campaign to fight recall effort,0,0,0
Judge rejects riot charges for journalist Amy Goodman after oil pipeline protest,0,0,0
Judge Rules White Girl Will Be Tried As Black Adult,1,1,1
Juno space probe prepares to arrive at Jupiter after five years and 1.8bn miles,0,0,0
Justice for some: advocates worry Jeff Sessions could halt criminal justice reform,0,0,0
"Justice League, Wonder Woman and a pair of Batmen storm Comic-Con",0,0,1
Justify Wakes Up Next To Decapitated Head Of Prized Jockey After Refusing To Throw Triple Crown,1,1,0
Justin Trudeau Responds To Blackface Criticism With New Triggered? Campaign Slogan,0,1,0
Kamala Harris Undergoes Heart Surgery After Seeing Positive Reception For Sanders,1,1,0
Kanye Wests travails help hip-hop open up on mental health,0,0,0
"Kayla Mueller abduction: MSF withheld key information from us, parents say",0,0,0
KC Masterpiece CEO Warns Against Societys Increasing Reliance On A1,0,0,0
Kickers set NFL record with 11 missed extra-points on chaotic afternoon,0,1,0
Kicking the habit: two former nuns married in civil ceremony in Italy,0,0,0
Kid Not Getting In Strange Van For Anything Less Than King-Size Bar,1,1,1
Kim Jong-un placed on sanctions blacklist for the first time by US,0,0,0
Kim Jong-Un Wonders If Nuclear Threats Distracting Him From Real Goal Of Starving Citizenry,1,1,1
"Kissinger hindered US effort to end mass killings in Argentina, according to files",0,0,0
Knicks Confident They Have The Cap Space To Ruin 2 Or 3 Promising Careers,1,1,1
Knights Organization Denies Claims That Overhunting Could Lead To Extinction Of Dragons,1,1,1
"Konrad Reuland, former Ravens and Jets tight end, dies aged 29",0,0,0
Kristen Stewart and Cowboy Music: The Week in Pop-Culture Writing,0,0,0
Kushner and Bannon Battle for the Soul of the Trump White House,0,0,0
"Kushner: I Did Not Collude, But I Pretty Much Have To Say That, Right?",1,1,1
La La Land tipped for Oscars glory after win at Toronto film festival,0,0,0
Laid-Back Company Allows Employees To Work From Home After 6 P.M.,1,1,1
"Larry King got $225,000 to interview Ukraine PM, says politician",0,0,0
Last battle against Isis in Iraq: forces mass for Mosul assault,0,0,0
Late-night roasts Trump after debate: His head doesnt have room for facts,0,0,1
Laura Jane Grace: Punk was more closed-minded than the church,0,0,1
Law School Applications Increase Upon Realization That Any Fucking Idiot Can Be Lawyer,1,1,1
Leaked Documents Reveal Studio Executives Knew About Gods Of Egypt Before It Released Onto Public,0,1,1
Learn English: LA landlords allegedly harassed Latinos to get richer tenants,0,0,0
LeBron James Credits Teammates With Providing 4 Bodies Necessary To Avoid Forfeiture Against Pacers,1,1,0
Legendary Bass Fisherman Explains How Easily He'd Catch The Fish Monster From 'The Shape Of Water',1,1,0
LEGO Unveils Line Of Playsets Commemorating Children Who Choked To Death On One Of Their Blocks,1,1,0
"Leicesters woes continue as Hazard, Costa and Moses fire Chelsea to victory",0,0,0
Lemur Fantasizes About Ripping Face Off Next Dumbshit Who Calls It A Monkey,1,1,1
Leonardo DiCaprio Kisses Bear Before Going Up To Receive Oscar,1,1,0
Lethal Injection Least Effective Drugs Man Took While In Prison,1,1,0
Lewis Hamilton says I dont plan on being second after Mexican GP pole,0,0,0
Liberal Activists Encourage Citizens To Call Their Late-Night Hosts And Urge Them To Oppose Tax Plan,0,1,1
Library Of Congress Completes Destruction Of 70 Million Works Deemed Culturally Insignificant,0,1,0
"Life: 5 Times Jesus Came Back, Ranked By How Quickly He Died Again",1,1,1
Life: 6 Guests Who Have Severely Disappointed Our Expectations To Liven Up This BBQ,0,1,1
Life: 6 Signs That Everyone In Your UberPool Just Escaped From A Human Farm,1,1,1
Life: 6 Ways To Get Your Parents To Renounce Christ So That You Can Have Heaven All To Yourself,1,1,1
Life: 6 Ways To Know For Sure That What Youre Drinking From Is Actually A Cup,1,1,1
Life: 7 Places To Hide Your Cabbages From An Asshole,1,1,1
Life: 7 Things Babies Learn While Still In The Womb,1,1,1
Life: Avoid These 4 Common Mistakes When Applying To Secret Harvard,1,1,1
Life: Diversity FTW! This Dominican Nanny Is Basically Part Of The Family,1,1,1
Life: Feminism In Action: This Man Loves Women So Much He Lives In A Compound With 17 Of Them,1,1,1
"Life: Inspiring: When This Womans Husband Died, Her Church Got Together And Named God After Him",1,1,1
Life: Put Your Mind At Ease: 8 Mosquitoes That For Sure Dont Have Zika,0,1,1
Life: Representation FTW! This Drowning Man Is Disproving The Stereotype That All Italians Cant Die,1,1,1
Life: Security Failure: EpiPens Database Of Everyone Whos Allergic To Bees Has Been Obtained By Bees,1,1,1
Life: Strange But True: This Man Is Not On The San Antonio Spurs But Is Still Happy,1,1,1
"Life: Stranger Things Fans, Wean Yourself Off 80s Nostalgia With Pictures Of These 80s Microwaves",1,1,1
"Life: The End Of An Era: After 68 Years, The Hells Angels Have All Gotten Carsick And Are Going Home",1,1,1
Life: The Epitome Of Privilege: This School Has Its Own Police Officers,1,1,0
"Life: This Stork Is Very Ugly, But It Seems Sick So Lets Go Wild For It Before It Dies",1,1,1
Life: True Hero: This Lawyer Will Work Pro Bono For Anyone Suing The Snow Globe Industry,1,1,1
"Life: When This Man Lost His Job, He Didnt Know What To Do”3 Years Later, He Co-Owns A Dinner Jacket",1,1,1
Lifeguard Getting Pretty Fed Up With Out-Of-Breath Kid Always Hanging On Lane Line,1,1,1
"Lifeguard Would Save Drowning Man, But Who Is He To Play God?",1,1,1
Lindsey Graham Cant Believe He Left CD With Campaign Song At Red Roof Inn,1,1,0
Lindsey Graham Gazes Longingly At Happy Rubio Campaign Workers Through Window,1,1,0
Lionel Messi scores hat-trick in Barcelonas 7-0 thrashing of Celtic,0,0,0
Lionel Messi tells tax fraud trial: I didnt know anything,0,0,0
Lisa Fischer on life in the shadows of the Stones and Tina Turner: I got used to keeping quiet,0,0,0
List Of Names On Gchat Sidebar Like A Portal Into Area Man's Past Lives,1,1,1
Little Men review Ira Sachs achingly humane family drama soars,0,0,0
Liverpool v Manchester City: a game that threatens to live up to the hype,0,1,0
Living In The Past! Some Countries Are Still Using The Metric System,0,0,0
Local Man Unsure If Woman Type Of Lesbian Who Only Dates Women,1,1,1
Local Water Tower Celebrates 50th Year As Repository Of Information On Who Is A Slut,1,1,1
Logan Paul: 'I Didnt Realize People Who Commit Suicide Kill Themselves',1,1,1
"London, Paris, New York: a tale of three mid-century cities in pictures",0,0,0
Long John Silvers Introduces New Golden Fried Abomination From The Deep,0,0,0
Longtime matchmaker Joe Silva reportedly retiring after sale of UFC,0,1,0
"Looking Back On My Life, I Guess My Biggest Regret Is Trying To Fight That Alligator 5 Minutes Ago",1,1,1
Looking for gandhi picture with quote about social media. I think I saw it on clickhole or onion.,0,1,1
Louisiana governor seeks donors and volunteers after floods: We need help,0,1,1
Louisiana public defenders: a lawyer with a pulse will do,1,1,1
"Louisville, forever changed by Muhammad Ali, prepares to bury him",0,1,1
"Low-Energy Jeb, Whispers Jeb Bush Sitting Alone In Dark Watching Televised Trump Speech",1,1,1
Lying Sack Of Shit: Mom Claims Just Having The Family Around For Mothers Day Is Enough Of A Gift,1,1,1
"Macaulay Culkin: No, I was not pounding six grand of heroin a month",0,1,1
MacOS Sierra: top five things you need to know about Apples new Mac software,0,0,0
"Mail Online sex attack story filled with lies, Swedish woman says",0,0,0
Major Misfire: This Kid Clearly Thought MasterChef Junior Was Some Sort Of Bodybuilding Contest,0,1,0
"Malaysia Airlines Expands Investigation To Include General Scope Of Space, Time",1,1,0
Male Friends Depart For Annual Camping Trip To Complain About Camping,1,1,0
Man Already Has Whole Sentence Lined Up For Later In Conversation,1,1,0
Man Approaches Box Of Powdered Doughnuts Like Snake Discovering Unguarded Clutch Of Bird Eggs,1,1,1
Man At Amusement Park Gets Right Back In Line For Another Funnel Cake,1,1,1
Man Constantly Blaming His Problems On Fact That Hes On Fire,1,1,1
Man Crushed By Lack Of Filth On Q-Tip Pulled From Ear,1,1,1
Man Desperately Trying To Wring Every Last Ounce Of Relaxation From Final Day Of Vacation,1,1,0
Man Feeling Pressure To Give Mom Grandchildren While She Still Around To Raise Them,1,1,0
Man Feeling Pressure To Live Up To Conversation Between Barber And Customer In Next Chair,1,1,1
Man Figures He Has 2 More Bites Of Roommates Leftovers Before It Noticeable,1,1,1
Man Flashes Hand Stamp To Bouncer Like Badge Of Field Agent Entering Crime Scene,1,1,1
Man Going To Take Edge Off With Decades-Long Slide Into Alcoholism,1,1,0
Man Hates It When Other Guys Treat His Girlfriend With Respect,1,1,1
Man Honestly Thinks Hes Going To Get To Bed Early,1,1,1
Man Honestly Thought Breakdown Would Be More Obvious To People,1,1,1
Man In Solitary Confinement Cant Break With Reality Fast Enough,1,1,1
Man Lowers Carbon Footprint By Bringing Reusable Bags Every Time He Buys Gas,1,1,1
Man Named Phuc Dat Bich is Pissed That Facebook Keeps Shutting His Account Down,1,1,1
Man On Cusp Of Having Fun Suddenly Remembers Every Single One Of His Responsibilities,1,1,1
Man Only Buys Products Made Right Here In The USA By Cheap Immigrant Labor,1,1,1
Man Overjoyed He No Longer Has To Purchase Entire Days Worth Of Egg McMuffins In Morning,1,1,1
Man Putting Off Starting Family To Focus On Treading Water In Career For Few Years,1,1,1
"Man Recalls Desperate, Exhausting 14-Month Job Search That Made Him Want To Get Into Sales",1,1,1
"Man Returns To Work After Vacation With Fresh, Reenergized Hatred For Job",1,1,1
Man Spends Whole Day Dreading Fun Activity He Signed Up For,1,1,1
Man Waiting To See How Few More Decades Of Racial Violence Play Out Before Taking Action,1,1,1
Manager Of Combination Taco Bell/KFC Secretly Considers It Mostly A Taco Bell,1,1,1
Manchester United in chase for £84m Paul Pogba but Real Madrid lead race,0,0,0
Manchester Uniteds Jos Mourinho: no longer the bright young iconoclast,0,0,0
Manchester Uniteds Pogba fails to live up to price tag in draw at Liverpool,0,0,0
Mans Heart Stops As Speaker Asks Audience To Turn To Person Next To Them,1,1,1
Many Middle East countries will welcome Trumps victory. Heres why,0,0,0
Marc Summers Realizes Police Will Immediately Look For Body In Giant Pile Of Mashed Potatoes,1,1,1
Mark Cavendish looking to win more with Tour de France record in sight,0,0,0
Mark Leckey: the raving artist goes large at MoMA PS1 in New York,0,0,0
Mark Singer on Trump: The wheels are starting to come off dramatically,0,0,0
Mascots review: latest from Spinal Taps Christopher Guest does not go up to 11,0,0,0
Matt Damon Begrudgingly Accepts $50 In eBay Auction For The Martian Cast And Crew Jacket,1,1,1
Matt Damon Mans Warner Brothers Booth At College Campus's Career Day,0,1,0
Matt Shoemaker has surgery to stop bleeding on brain after line-drive hit,0,0,0
Mattel Preempts Backlash Over Gender-Neutral Doll With Release Of New Covered In Genitals Barbie,0,1,0
Maybe I Can Impress Her With My Holy Grail Quotes,1,1,1
McDonalds Janitor Would Like To Thank Everyone Who Tossed Half-Full Cups Of Soda Into Trash,1,1,1
Meat Prices Skyrocket After Cow Smashing Machine Gets All Beefed Up,1,1,1
Meet Trumps 12-year-old campaign chair in a crucial Colorado county,0,1,0
Meghan Markles College Friends Stuck At Table With Sickly Habsburg Cousins,1,1,1
Meghan McCain Forced To Live Out Socialist Nightmare Of Empathy For Sick Person,0,1,0
Mel and Sue leaving Bake Off: how social media reacted,0,0,0
Melinda Gates: The Tech Industry Needs to Fix Its Gender Problem”Now,0,0,0
Mellow yellow: Kenyas mosques and churches painted in the name of love,0,0,0
"Men who act as breadwinners face negative health effects, study finds",0,0,0
Mens Wearhouse Introduces Clip-On Trousers For Guys Who Never Learned How To Put On Pants,1,1,1
Methadone Clinic Must Be Having Some Sort Of Big Party,0,1,0
Michael Bond: Im at my desk by 9am. I even write on Christmas Day,0,0,0
"Michael Cimino, director of The Deer Hunter and Heavens Gate, dies aged 77",0,0,0
Michael Jackson Estate Questions Why Accusers Only Coming Forward Steadily Since Early 1990s,0,1,0
